iter	RMSE
357	24.53551228
358	24.50452955
359	24.49119189
360	24.48411928
361	24.47423516
362	24.46864459
363	24.46006627
364	24.44621011
365	24.43424543
366	24.41784576
367	24.4081278
368	24.39878167
369	24.38142646
370	24.36630617
371	24.34822837
372	24.34020138
373	24.33354765
374	24.31584572
375	24.30853344
376	24.2993284
377	24.28635764
378	24.27703876
379	24.26257405
380	24.24889591
381	24.24100586
382	24.23167065
383	24.21799671
384	24.19327718
385	24.18494248
386	24.17427701
387	24.16454165
388	24.1489652
389	24.13717587
390	24.10725342
391	24.09750334
392	24.08877899
393	24.07051358
394	24.06206556
395	24.05092124
396	24.03550458
397	24.02428489
398	24.01907224
399	24.01150268
